Название,Цена РРЦ КОМПУТЕРРА,СТАТУС
"Інвертор гібридний LuxPower SNA6000 Wide PV (6 кВт, 1 фаза)",26000,+
"Інвертор гібридний LuxPower SNA PRO-EU 6.5K (6,5 кВт, 1 фаза)",34000,+
"Інвертор гібридний LuxPower SNA2-EU-LT 14K (14 кВт, 1 фаза)",59000,+
"Інвертор автономний однофазний Solis S6 5кВт, 1xMPPT, для LV Batteries (S6-EO1P5K-48-EU)",29500,+
"Гібридний інвертор однофазний Solis S6 6кВт, 2xMPPT, DC, для LV Batteries (S6-EH1P6K-L-PLUS) ",41000,+
"Гібридний інвертор однофазний Solis S6 8кВт, 2xMPPT, DC, для LV Batteries (S6-EH1P8K-L-PLUS)",56000,+
"Інвертор гібридний Deye SUN-6K-SG05LP1-AM2-PLUS (6 кВт, 1 фаза, 2 МРРТ, LV)",43000,+
"Інвертор гібридний Deye SUN-8K-SG05LP1-EU-AM2-PLUS (8 кВт, 1 фаза, 2 МРРТ, LV)",59000,28.08.2026
"Інвертор гібридний Deye SUN-12K-SG02LP1-EU-AM3-PLUS (12 кВт, 1 фаза, 3 МРРТ, LV)",79000,-
"Гібридний інвертор трифазний Solis S6 12кВт, 2xMPPT, DC, для LV Batteries (S6-EH3P12K02-NV-YD-L)",0,-
"Гібридний інвертор трифазний Solis S6 15кВт, 2xMPPT, DC, для LV Batteries (S6-EH3P15K02-NV-YD-L)",98000,30.09.2026
"Гібридний інвертор трифазний Solis S6 15кВт, 2xMPPT, DC, для HV Batteries (S6-EH3P15K-H)",75000,-
"Гібридний інвертор трифазний Solis S6 20кВт, 4xMPPT, DC, для HV Batteries (S6-EH3P20K-H)",86000,-
"Інвертор гібридний Deye SUN-12K-SG05LP3-EU-SM2 (12 кВт, 3 фази, 2 МРРТ, LV)",0,-
"Інвертор гібридний Deye SUN-15K-SG05LP3-EU-SM2 (15 кВт, 3 фази, 2 МРРТ, LV)",0,-
"Інвертор гібридний Deye SUN-16K-SG01LP1-EU (16 кВт, 3 фази, 2 МРРТ, LV)",0,-
"Інвертор гібридний Deye SUN-20K-SG05LP3-EU-SM2 (20 кВт, 3 фази, 2 МРРТ, LV) ",129000,30.08.2026
"АКБ 2E LFP48100 48V/100Ah 19"" LCD 16S (2E-LFP48100-LCD)",35900,+
"АКБ 5.12кВт, BYD BatteryBox LV5.0+, LiFePO4 (BATTERY-BOX LV5.0+)",41000,+
"АКБ Leapton EL-A05 51.2В, 100А•год, LiFePO4 16S1P",38000,-
"АКБ Dyness DL5.0C (5,12кВт*год /51.2В)",39900,+
"АКБ Dyness DL5.0C Pro (5,12 кВт * год / 51,2 В)",40900,-
"АКБ Dyness PowerHaus (5,12кВт*год /51,2 В)",44900,+
"АКБ Dyness Powerbrick Plus (16,07 кВт*год / 51,2 В LV)",104000,-
"АКБ Deye LV SE-F5 Pro-С (5,12 кВт·год/51,2 В)",39900,+
"АКБ Deye LV SE-F16-C (16 кВт·год/51,2 В)",96500,-
Система керування Dyness Stack100 SBDU100 (від 3 до 15 акб),40500,+
"Система керування Dyness SBDU200 (для Stack280, Stack314, від 3 до 15 акб)",65300,+
"Акумуляторна батарея Dyness Stack100 S51100 Heat (5,12 кВт * год / 51,2 В HV)",42500,+
"Акумуляторна батарея Dyness Stack280 S51280 (14,33 кВт * год / 51,2 В HV)",85500,+
"Акумуляторна батарея Dyness Stack314 S51314 (16,07 кВт * год / 51,2 В HV)",97000,+
"Гібридний інвертор трифазний Solis S6 30кВт, 3xMPPT, DC, для HV Batteries (S6-EH3P30K-H)",135000,+
"Гібридний інвертор трифазний Solis S6 50кВт, 4xMPPT, DC, для HV Batteries (S6-EH3P50K-H)",207000,+
"Фотоелектрична панель JA Solar JAM72D40-610/LB 610W, Bifacial N-type",5250,-
